archive_rank,file,validation_pair_index,molecule_id,cyp_index,cyp_target,experimental_pic50,predicted_pic50,late_motion,final_step,late_amplitude,recurrence_ratio,recurrence_lag,recurrence_distance,spectral_entropy,spectral_concentration,atoms,directed_edges,saved_generations,hidden_channels
22,022_OCNT-2310733_CYP3A4.npz,490,OCNT-2310733,3,CYP3A4,-1.2677231500000006,0.04867906868457794,0.005899806042270495,0.0034212181344628334,0.022579312324523926,0.9746259565744165,11,0.06325114518404007,0.5136891217030781,0.6222996711730957,24,52,65,4
23,023_OCNT-2312714_CYP1A2.npz,995,OCNT-2312714,0,CYP1A2,-0.5009226949999999,-0.052159685641527176,0.006062871777521206,0.004161369055509567,0.021366115659475327,0.9851384483277025,11,0.06570044904947281,0.48884402425823126,0.6462094187736511,21,46,65,4
24,024_OCNT-2314118_CYP3A4.npz,968,OCNT-2314118,3,CYP3A4,0.9163865219999998,-0.014972909353673458,0.00599167961727245,0.003515540389344096,0.022755984216928482,0.9739824053461712,11,0.06419369578361511,0.4874458966724999,0.6445001363754272,25,54,65,4
25,025_OCNT-2395333_CYP3A4.npz,1047,OCNT-2395333,3,CYP3A4,0.3497246280000006,0.06179599463939667,0.006093438715742661,0.003644464071840048,0.02314438484609127,0.9748635621310675,11,0.0653429850935936,0.46350191845022215,0.6621514558792114,24,52,65,4
26,026_OCNT-0022215_CYP3A4.npz,832,OCNT-0022215,3,CYP3A4,-0.10004976800000076,-0.010900481604039669,0.0058048935617075696,0.0031768514309078455,0.023267801851034164,0.9755878453463308,11,0.06229501962661743,0.5357399202791159,0.6007828712463379,32,72,65,4
27,027_OCNT-2316462_CYP3A4.npz,908,OCNT-2316462,3,CYP3A4,-0.0531281899999998,-0.023260846734046936,0.005827398040400578,0.0033227379899472,0.022432222962379456,0.9748157337628829,11,0.062487032264471054,0.5251721883228743,0.6114668846130371,23,52,65,4
28,028_OCNT-2309730_CYP3A4.npz,1281,OCNT-2309730,3,CYP3A4,-0.38525394499999965,0.015594557859003544,0.005793805700795485,0.0032101061660796404,0.023024436086416245,0.9756606695161464,11,0.06218067184090614,0.5349692337738525,0.6015874147415161,32,74,65,4
29,029_OCNT-2312486_CYP3A4.npz,277,OCNT-2312486,3,CYP3A4,0.38478587200000014,0.0019115664763376117,0.005785137881593539,0.0031823511235415936,0.023037677630782127,0.9755189615915248,11,0.062078628689050674,0.5352283471352087,0.6013174057006836,30,68,65,4
30,030_OCNT-2395513_CYP3A4.npz,1253,OCNT-2395513,3,CYP3A4,-1.6078734949999993,0.05980859696865082,0.005782470108078553,0.003148031188175082,0.022984743118286133,0.9761406827790126,11,0.062089547514915466,0.5362440659222888,0.6002568006515503,23,52,65,4
31,031_OCNT-2315482_CYP3A4.npz,1103,OCNT-2315482,3,CYP3A4,1.1234213349999997,0.00772430095821619,0.0057824971164332165,0.0032215765677392483,0.022824371233582497,0.9750116981822126,11,0.062018025666475296,0.532939516026201,0.6036905646324158,26,60,65,4
32,032_OCNT-2317349_CYP3A4.npz,295,OCNT-2317349,3,CYP3A4,-0.023599081999999605,0.011399463750422001,0.005810844247298075,0.003291903529316187,0.022234831005334854,0.9745874972270737,11,0.062294937670230865,0.524746993465363,0.611870527267456,24,54,65,4
33,033_OCNT-2395775_CYP3A4.npz,95,OCNT-2395775,3,CYP3A4,-0.20390713000000016,-0.005936666391789913,0.00577543955396278,0.0032114856876432896,0.022492995485663414,0.9747741982170678,11,0.06192724406719208,0.533317383407978,0.6032961010932922,23,54,65,4
34,034_OCNT-2312716_CYP3A4.npz,83,OCNT-2312716,3,CYP3A4,-0.08312816499999975,-0.011605366133153439,0.005768507720039917,0.0031727340538054705,0.022907793521881104,0.9754729469883142,11,0.06189725548028946,0.5356498551146421,0.6008775234222412,24,52,65,4
35,035_OCNT-2315767_CYP3A4.npz,879,OCNT-2315767,3,CYP3A4,-1.1231199099999993,0.04311580955982208,0.0061799609112308754,0.0037148785777390003,0.023707786574959755,0.97444993224057,11,0.06624268740415573,0.4318888011821158,0.681357741355896,25,56,65,4
36,036_OCNT-2395522_CYP3A4.npz,247,OCNT-2395522,3,CYP3A4,0.2032703170000003,0.07202042639255524,0.0060041323314176335,0.003567569889128208,0.02273103967308998,0.9746599654316878,11,0.06437186151742935,0.47162307358541,0.6564298868179321,23,50,65,4
37,037_OCNT-0495153_CYP3A4.npz,1222,OCNT-0495153,3,CYP3A4,-0.09257016699999987,0.022324398159980774,0.005756931380437447,0.003127605887129903,0.022725868970155716,0.9761884065571864,11,0.06181834638118744,0.5365628142678316,0.5999189615249634,28,62,65,4
38,038_OCNT-2316876_CYP3A4.npz,180,OCNT-2316876,3,CYP3A4,0.03517928999999986,0.033848121762275696,0.0059559545489714875,0.0036351133603602648,0.022974329069256783,0.9742431745134283,11,0.06382802873849869,0.4821347391974703,0.6486256718635559,25,56,65,4
39,039_OCNT-2395637_CYP3A4.npz,333,OCNT-2395637,3,CYP3A4,0.5154748150000001,0.00581760797649622,0.006015212276087834,0.0035906669218093157,0.022501468658447266,0.974591407283997,11,0.06448611617088318,0.46757283916192816,0.6592304110527039,23,50,65,4
40,040_OCNT-2315721_CYP3A4.npz,976,OCNT-2315721,3,CYP3A4,0.21921759699999965,-0.019958749413490295,0.005757268519209458,0.0032030437141656876,0.02262483909726143,0.9750662424428163,11,0.061750900000333786,0.533649782876433,0.6029592752456665,24,54,65,4
41,041_OCNT-2317625_CYP3A4.npz,369,OCNT-2317625,3,CYP3A4,0.14502220700000112,-0.043330565094947815,0.005751459860311581,0.003160168882459402,0.023034077137708664,0.9760161471604325,11,0.0617486946284771,0.5355225987019193,0.6010107398033142,28,64,65,4
42,042_OCNT-2328753_CYP3A4.npz,63,OCNT-2328753,3,CYP3A4,-1.2690138170000003,-0.06832467019557953,0.006001406350241734,0.003569323103874922,0.022895418107509613,0.9752016583283397,11,0.06437839567661285,0.4703137804133071,0.6574233174324036,31,68,65,4
43,043_OCNT-0494110_CYP3A4.npz,876,OCNT-0494110,3,CYP3A4,0.06987336200000005,-0.08159713447093964,0.005738994107650353,0.003157319501042366,0.023524941876530647,0.9766573548685041,11,0.06165533885359764,0.5357812176131542,0.6007446050643921,20,42,65,4
44,044_OCNT-0493904_CYP1A2.npz,690,OCNT-0493904,0,CYP1A2,1.5387430599999998,-0.0453045517206192,0.005948666484163834,0.00414210045710206,0.0208903681486845,0.9862884845886679,11,0.06453811377286911,0.49526928534555004,0.6404255628585815,17,36,65,4
45,045_OCNT-2317624_CYP3A4.npz,1012,OCNT-2317624,3,CYP3A4,-0.5553778299999999,0.026951268315315247,0.00604125252093537,0.0037301352713257074,0.02305908501148224,0.9755095495384416,11,0.06482629477977753,0.4552245385745568,0.6676498651504517,23,50,65,4
46,046_OCNT-2316424_CYP3A4.npz,927,OCNT-2316424,3,CYP3A4,-0.6635111529999995,-0.022913262248039246,0.005723283627139164,0.0031424211338162422,0.022742463275790215,0.9758024196829652,11,0.06143273413181305,0.5355224912127625,0.6010119915008545,27,62,65,4
47,047_OCNT-2311316_CYP3A4.npz,1094,OCNT-2311316,3,CYP3A4,0.3879661919999995,0.009479925967752934,0.005716577173279358,0.0031536249443888664,0.02256915345788002,0.9750038090890424,11,0.061310529708862305,0.5351328645172329,0.601416289806366,25,56,65,4
48,048_OCNT-2311976_CYP3A4.npz,582,OCNT-2311976,3,CYP3A4,-0.6275910229999999,0.002406434156000614,0.0057215616116987,0.0032200226560235023,0.02227083593606949,0.9748003646650932,11,0.06135118380188942,0.5320283411930142,0.6046099662780762,26,58,65,4
49,049_OCNT-2316507_CYP3A4.npz,196,OCNT-2316507,3,CYP3A4,0.098755347,0.026379302144050598,0.005714140833424164,0.003178197192028165,0.022517047822475433,0.9751219397002481,11,0.06129182502627373,0.5342835281959469,0.6022994518280029,24,54,65,4
50,050_OCNT-2313821_CYP3A4.npz,1254,OCNT-2313821,3,CYP3A4,-0.8660644169999996,-0.05465476214885712,0.005746003707008196,0.0032805774826556444,0.022320296615362167,0.9740011153356432,11,0.06156275421380997,0.5200140631603656,0.6164328455924988,26,56,65,4
51,051_OCNT-2328337_CYP1A2.npz,1288,OCNT-2328337,0,CYP1A2,0.7856300129999996,0.1854323297739029,0.005867623259382082,0.004213008098304272,0.020703639835119247,0.9868859966330539,11,0.06369742751121521,0.5081693277747206,0.6285861134529114,24,48,65,4
52,052_OCNT-2310332_CYP3A4.npz,961,OCNT-2310332,3,CYP3A4,-0.45811556699999967,0.057530686259269714,0.006035580300794674,0.003621228039264679,0.022928908467292786,0.9749040376521768,11,0.06472522765398026,0.44719535653637577,0.6726927161216736,26,56,65,4
53,053_OCNT-2309800_CYP3A4.npz,1218,OCNT-2309800,3,CYP3A4,-0.34280102700000015,-0.020739898085594177,0.005701781251536442,0.0031279560644179583,0.02284354344010353,0.9777211257268547,11,0.06132227182388306,0.5361263008021104,0.6003795266151428,31,70,65,4
54,054_OCNT-2309299_CYP3A4.npz,1233,OCNT-2309299,3,CYP3A4,0.4663065799999999,-0.029648855328559875,0.005729423836873604,0.0033171474933624268,0.022001180797815323,0.9744327942248191,11,0.061412323266267776,0.5227426861543765,0.6138003468513489,23,48,65,4
55,055_OCNT-2315237_CYP2C9.npz,175,OCNT-2315237,1,CYP2C9,0.0998716600000007,0.012782768346369267,0.005872928072767092,0.004191117826849222,0.023383311927318573,0.9895996808188297,11,0.06393032521009445,0.5082710340148746,0.6279724836349487,30,68,65,4
56,056_OCNT-2395303_CYP3A4.npz,244,OCNT-2395303,3,CYP3A4,1.2548058469999992,-0.030759617686271667,0.005690567196415497,0.0031432469841092825,0.02274095080792904,0.9756863186657834,11,0.06107429414987564,0.5346389518417862,0.6019306182861328,31,70,65,4
57,057_OCNT-2316472_CYP3A4.npz,1293,OCNT-2316472,3,CYP3A4,-1.331348965,0.013662145473062992,0.005737084430711104,0.0032902441453188658,0.02193385362625122,0.9741952679401615,11,0.06147944554686546,0.5184977996168649,0.6178280711174011,26,56,65,4
58,058_OCNT-2395773_CYP3A4.npz,370,OCNT-2395773,3,CYP3A4,0.979687994999999,0.023709967732429504,0.005725827069090439,0.003297056071460247,0.021907605230808258,0.9747297076038575,11,0.06139247119426727,0.5220293451142602,0.6144986152648926,27,60,65,4
59,059_OCNT-2316557_CYP3A4.npz,727,OCNT-2316557,3,CYP3A4,0.48987913699999996,0.11303980648517609,0.0056755039850936665,0.003121728543192148,0.02221084013581276,0.9751412282877958,11,0.06087859719991684,0.5350914596940376,0.6014604568481445,26,56,65,4
60,060_OCNT-2310117_CYP3A4.npz,661,OCNT-2310117,3,CYP3A4,-0.6944253080000005,0.008915559388697147,0.005699628033743931,0.0032178384717553854,0.021723031997680664,0.9795448753999753,11,0.06141345575451851,0.5347820629051354,0.6017784476280212,23,50,65,4
61,061_OCNT-2309377_CYP3A4.npz,1175,OCNT-2309377,3,CYP3A4,1.1399571869999994,0.009928659535944462,0.005670104642467333,0.003123153932392597,0.02229888364672661,0.9753372428215422,11,0.060832906514406204,0.5354192371287507,0.6011219620704651,25,54,65,4
62,062_OCNT-2312478_CYP3A4.npz,1036,OCNT-2312478,3,CYP3A4,0.06797191700000038,-0.018095776438713074,0.005672484171645476,0.0030923057347536087,0.02257457748055458,0.9763176234360749,11,0.06091960892081261,0.5362143344215209,0.6002873778343201,31,70,65,4
63,063_OCNT-2315652_CYP2C9.npz,1247,OCNT-2315652,1,CYP2C9,0.9681190069999994,0.00032927177380770445,0.0058649540888832345,0.004194179549813271,0.02319297380745411,0.9895843568175434,11,0.0638425350189209,0.5054960616964561,0.6305002570152283,23,52,65,4
64,064_OCNT-2314665_CYP3A4.npz,98,OCNT-2314665,3,CYP3A4,-0.12454890000000018,0.020973756909370422,0.005668994040297104,0.003134050639346242,0.021780159324407578,0.9743185948785403,11,0.06075746938586235,0.5333213067622008,0.6032860279083252,27,60,65,4
