stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0.9622143507003784,250,16,0.001,0.01,1e-05,1.0,128,0.25,1.5,0.01,0.85,1.0,0.5,0.2,0.2,0.3,comprehensive
stage1,1701,0.9815654754638672,64,8,0.0003,1.0,1e-05,2.0,64,0.4,1.5,0.01,0.85,0.5,0.2,0.8,0.2,0.05,electronic
stage1,1701,1.0173208713531494,64,16,0.0003,0.01,1e-06,2.0,128,0.15,1.0,0.01,0.6,2.0,0.8,0.8,0.8,0.3,periodic
stage1,1701,0.9849780797958374,32,8,0.0003,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.75,2.0,0.2,0.8,0.5,0.05,electronic
stage1,1701,0.9403964877128601,250,16,0.0003,0.3,1e-05,0.5,128,0.15,1.5,0.01,0.75,0.5,0.2,0.5,0.8,0.3,electronic
stage1,1701,0.9758225083351135,250,16,0.003,0.03,0.0001,2.0,128,0.4,1.0,0.01,0.85,2.0,0.2,0.2,0.5,0.15,valence
stage1,1701,0.9834682941436768,125,16,0.003,0.03,1e-05,2.0,128,0.25,1.5,0.0,0.75,2.0,0.5,0.8,0.2,0.05,periodic
stage1,1701,1.00071120262146,32,16,0.0003,0.1,1e-05,0.5,128,0.4,1.5,0.0,0.85,0.5,0.2,0.2,0.8,0.15,valence
stage1,1701,0.9768759608268738,125,8,0.001,0.03,1e-05,0.5,128,0.4,1.0,0.0,0.85,0.5,0.5,0.2,0.5,0.3,ring_geometry
stage1,1701,0.9940173029899597,125,24,0.0003,1.0,0.0001,1.0,128,0.25,1.5,0.0,0.6,0.5,0.8,0.2,0.8,0.3,valence
stage1,1701,0.9914196729660034,125,24,0.003,0.01,0.0001,2.0,64,0.15,0.5,0.005,0.75,1.0,0.2,0.8,0.8,0.3,valence
stage1,1701,0.9878563284873962,64,24,0.001,0.1,0.0001,2.0,128,0.4,0.5,0.01,0.85,2.0,0.2,0.2,0.8,0.15,electronic
stage1,1701,1.0128830671310425,32,8,0.0003,0.1,0.0001,1.0,64,0.25,0.5,0.0,0.6,1.0,0.2,0.2,0.8,0.3,ring_geometry
stage1,1701,1.0308127403259277,125,24,0.0003,0.1,1e-05,1.0,128,0.15,1.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic
stage1,1701,0.9724487662315369,32,16,0.003,0.01,1e-06,0.5,128,0.25,1.0,0.005,0.6,2.0,0.8,0.8,0.8,0.3,valence_electronic
stage1,1701,0.9581281542778015,32,8,0.0003,0.03,1e-06,1.0,64,0.4,0.5,0.01,0.6,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0.9849866032600403,250,8,0.001,0.03,1e-05,2.0,128,0.15,1.0,0.005,0.6,1.0,0.5,0.5,0.2,0.05,valence_electronic
stage1,1701,0.9938062429428101,64,24,0.0003,0.01,0.0001,0.5,128,0.25,1.0,0.01,0.75,0.5,0.8,0.8,0.8,0.05,valence_electronic
stage1,1701,0.9561886787414551,250,16,0.0003,0.03,1e-05,2.0,128,0.4,0.5,0.01,0.85,2.0,0.2,0.8,0.2,0.3,electronic
stage1,1701,0.9162582755088806,250,16,0.001,0.3,0.0001,1.0,128,0.25,0.5,0.005,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence
stage1,1701,0.9919896125793457,125,24,0.001,0.3,0.0001,2.0,64,0.25,1.5,0.0,0.75,0.5,0.2,0.5,0.2,0.15,ring_geometry
stage1,1701,1.0505995750427246,64,24,0.001,0.1,1e-06,0.5,128,0.15,1.5,0.01,0.85,2.0,0.8,0.2,0.5,0.05,periodic
stage1,1701,0.962388813495636,32,8,0.0003,0.3,1e-06,2.0,64,0.4,0.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,electronic
stage1,1701,0.9923036694526672,125,8,0.003,0.01,1e-05,0.5,64,0.25,1.0,0.005,0.75,1.0,0.5,0.2,0.2,0.15,valence
stage1,1701,0.960245668888092,32,16,0.001,0.01,1e-06,0.5,128,0.25,0.5,0.005,0.6,0.5,0.8,0.8,0.5,0.3,periodic_valence
stage1,1701,0.9647895693778992,125,8,0.003,0.1,1e-05,1.0,128,0.4,1.5,0.0,0.85,2.0,0.8,0.2,0.8,0.15,periodic
stage1,1701,0.9543274641036987,250,24,0.003,1.0,1e-06,2.0,64,0.15,1.0,0.005,0.85,2.0,0.2,0.2,0.5,0.05,valence_electronic
stage1,1701,0.978847324848175,125,24,0.003,0.1,1e-05,1.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.5,0.2,0.05,electronic
stage1,1701,1.033128261566162,125,24,0.0003,1.0,1e-05,0.5,64,0.15,1.5,0.0,0.85,1.0,0.5,0.5,0.8,0.05,periodic
stage1,1701,0.9642537832260132,250,8,0.001,0.1,0.0001,1.0,64,0.15,1.0,0.01,0.85,0.5,0.2,0.5,0.8,0.3,periodic
stage1,1701,0.9480483531951904,125,16,0.0003,0.3,1e-05,0.5,128,0.25,0.5,0.005,0.6,2.0,0.2,0.5,0.2,0.15,periodic_electronic
stage1,1701,0.9741829037666321,64,8,0.001,1.0,1e-05,0.5,128,0.4,0.5,0.01,0.75,0.5,0.2,0.8,0.5,0.15,valence
stage1,1701,0.9692291617393494,32,16,0.001,1.0,1e-06,1.0,64,0.4,1.5,0.0,0.85,0.5,0.5,0.5,0.5,0.3,periodic
stage1,1701,0.992903470993042,32,24,0.001,1.0,1e-05,0.5,64,0.25,1.0,0.0,0.85,1.0,0.2,0.5,0.8,0.3,valence
stage1,1701,0.9463471174240112,125,16,0.003,0.1,1e-05,0.5,128,0.15,0.5,0.0,0.6,2.0,0.8,0.8,0.8,0.3,valence_electronic
stage1,1701,1.0066697597503662,32,8,0.003,0.1,0.0001,1.0,128,0.25,1.5,0.005,0.6,1.0,0.8,0.5,0.2,0.15,periodic_valence
stage1,1701,1.0827997922897339,32,24,0.0003,0.03,1e-05,2.0,128,0.25,1.5,0.005,0.6,1.0,0.8,0.2,0.2,0.15,periodic
stage1,1701,0.9905471801757812,125,16,0.003,0.01,1e-05,2.0,128,0.15,1.0,0.01,0.6,0.5,0.2,0.5,0.2,0.3,baseline
stage1,1701,0.981860876083374,32,16,0.003,1.0,1e-06,0.5,64,0.25,1.5,0.0,0.6,0.5,0.5,0.5,0.5,0.15,periodic_electronic
stage1,1701,0.9870535135269165,125,16,0.0003,0.03,1e-05,1.0,128,0.25,0.5,0.005,0.6,0.5,0.5,0.8,0.2,0.15,periodic
stage1,1701,0.9894365072250366,64,24,0.0003,1.0,1e-05,0.5,128,0.25,0.5,0.0,0.75,1.0,0.8,0.5,0.5,0.05,baseline
stage1,1701,1.0022296905517578,125,8,0.0003,1.0,1e-06,1.0,64,0.4,1.5,0.0,0.85,2.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,1.0168392658233643,125,16,0.003,0.01,0.0001,2.0,128,0.25,1.0,0.01,0.75,1.0,0.2,0.2,0.5,0.15,baseline
stage1,1701,0.983876645565033,64,16,0.003,0.3,1e-05,1.0,128,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.5,0.3,electronic
stage1,1701,0.961504340171814,125,24,0.001,0.3,1e-06,1.0,128,0.4,1.0,0.01,0.75,2.0,0.8,0.8,0.2,0.3,comprehensive
stage1,1701,0.9498217105865479,32,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.2,0.2,0.3,periodic_electronic
stage1,1701,0.9862501621246338,250,8,0.003,0.01,0.0001,2.0,64,0.4,0.5,0.01,0.75,1.0,0.8,0.5,0.8,0.15,periodic_electronic
stage1,1701,1.0302960872650146,64,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.85,0.5,0.8,0.5,0.8,0.15,periodic
stage1,1701,1.0369247198104858,32,16,0.003,0.01,0.0001,2.0,128,0.15,1.0,0.005,0.6,1.0,0.2,0.2,0.5,0.05,periodic_electronic
stage1,1701,1.0869020223617554,32,24,0.0003,0.1,1e-06,1.0,128,0.25,1.0,0.01,0.75,1.0,0.2,0.2,0.5,0.15,periodic
stage1,1701,0.9631480574607849,250,16,0.003,0.03,0.0001,2.0,128,0.25,1.5,0.01,0.75,1.0,0.2,0.8,0.2,0.15,ring_geometry
stage1,1701,0.9840054512023926,125,8,0.003,0.01,0.0001,2.0,64,0.25,1.5,0.01,0.6,2.0,0.8,0.2,0.5,0.05,baseline
stage1,1701,1.0248817205429077,64,24,0.003,0.03,1e-05,2.0,64,0.15,1.5,0.005,0.75,2.0,0.2,0.8,0.8,0.3,periodic_valence
stage1,1701,1.0073761940002441,250,16,0.003,0.03,1e-05,2.0,128,0.25,1.5,0.0,0.75,2.0,0.8,0.2,0.8,0.15,periodic
stage1,1701,0.9522083401679993,32,16,0.001,0.03,1e-05,1.0,64,0.4,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.3,comprehensive
stage1,1701,1.0035544633865356,64,16,0.003,0.3,1e-06,0.5,128,0.15,1.5,0.01,0.75,2.0,0.8,0.2,0.2,0.15,baseline
stage1,1701,0.9924378395080566,125,16,0.001,0.1,0.0001,0.5,128,0.15,0.5,0.0,0.75,0.5,0.8,0.2,0.5,0.15,electronic
stage1,1701,1.0178357362747192,64,16,0.003,0.01,1e-05,0.5,128,0.15,1.5,0.005,0.6,0.5,0.8,0.2,0.8,0.05,periodic
stage1,1701,0.971514880657196,32,16,0.003,0.3,0.0001,2.0,128,0.25,0.5,0.01,0.85,2.0,0.2,0.5,0.5,0.3,valence_electronic
stage2,1701,0.9127656817436218,125,16,0.003,0.3,1e-05,2.0,64,0.15,1.5,0.0,0.6,0.5,0.8,0.8,0.5,0.3,electronic
stage2,1701,0.9068974852561951,250,16,0.001,0.3,0.0001,1.0,128,0.25,0.5,0.005,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence
stage2,1701,0.9076759219169617,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic_electronic
stage2,1701,0.8842258453369141,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic_valence
stage2,1701,inf,250,16,0.003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.75,1.0,0.5,0.8,0.8,0.15,periodic_electronic
stage2,1701,0.9224082231521606,250,16,0.0003,0.3,1e-05,0.5,128,0.15,1.5,0.01,0.75,0.5,0.2,0.5,0.8,0.3,electronic
stage2,1701,0.9207662343978882,125,16,0.003,0.1,1e-05,0.5,128,0.15,0.5,0.0,0.6,2.0,0.8,0.8,0.8,0.3,valence_electronic
stage2,1701,0.9326639175415039,125,16,0.0003,0.3,1e-05,0.5,128,0.25,0.5,0.005,0.6,2.0,0.2,0.5,0.2,0.15,periodic_electronic
stage2,1701,0.9138738512992859,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,comprehensive
stage2,1701,0.9056328535079956,32,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.2,0.2,0.3,periodic_electronic
stage2,1701,0.9247632622718811,32,16,0.001,0.03,1e-05,1.0,64,0.4,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.3,comprehensive
stage2,1701,0.9092881083488464,250,24,0.003,1.0,1e-06,2.0,64,0.15,1.0,0.005,0.85,2.0,0.2,0.2,0.5,0.05,valence_electronic
stage2,1701,0.9325684309005737,250,16,0.0003,0.03,1e-05,2.0,128,0.4,0.5,0.01,0.85,2.0,0.2,0.8,0.2,0.3,electronic
stage2,1701,0.9430876970291138,32,8,0.0003,0.03,1e-06,1.0,64,0.4,0.5,0.01,0.6,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage2,1701,0.9133883118629456,32,16,0.001,0.01,1e-06,0.5,128,0.25,0.5,0.005,0.6,0.5,0.8,0.8,0.5,0.3,periodic_valence
stage2,1701,0.9057255387306213,125,24,0.001,0.3,1e-06,1.0,128,0.4,1.0,0.01,0.75,2.0,0.8,0.8,0.2,0.3,comprehensive
confirmation,1701,0.8755942583084106,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic_valence
confirmation,2909,0.8892962336540222,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic_valence
confirmation,4211,0.8737990856170654,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic_valence
confirmation,1701,0.8759608864784241,32,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.2,0.2,0.3,periodic_electronic
confirmation,2909,0.8691710829734802,32,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.2,0.2,0.3,periodic_electronic
confirmation,4211,0.879571795463562,32,24,0.003,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.2,0.2,0.3,periodic_electronic
confirmation,1701,0.8836420774459839,125,24,0.001,0.3,1e-06,1.0,128,0.4,1.0,0.01,0.75,2.0,0.8,0.8,0.2,0.3,comprehensive
confirmation,2909,0.8863570690155029,125,24,0.001,0.3,1e-06,1.0,128,0.4,1.0,0.01,0.75,2.0,0.8,0.8,0.2,0.3,comprehensive
confirmation,4211,0.8852187395095825,125,24,0.001,0.3,1e-06,1.0,128,0.4,1.0,0.01,0.75,2.0,0.8,0.8,0.2,0.3,comprehensive
confirmation,1701,0.8845576643943787,250,16,0.001,0.3,0.0001,1.0,128,0.25,0.5,0.005,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence
confirmation,2909,0.8923484683036804,250,16,0.001,0.3,0.0001,1.0,128,0.25,0.5,0.005,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence
confirmation,4211,0.8828464150428772,250,16,0.001,0.3,0.0001,1.0,128,0.25,0.5,0.005,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence
